id,wrong_sign_deep,correct_sign_deep,sign_char_offset_deep,rel_pos_deep,rel_pos_c1,target_depth,same_as_c1,context_check_deep,confidence,reasoning,role_deep,role_target,fallback
ibp_pts_n5_b97,-,+,3033,0.5898,0.1058,0.5672,False,rac{1}{97} x^2 \sin(97x) [-] \frac{2}{97} \int x \si,high,role_target=symbolic; picked depth=59.0%,symbolic,symbolic,False
ibp_ptc_n5_b5,-,+,2577,0.567,0.1277,0.5667,False,"in(5x) \, dx = x^2 \left([-]\frac{1}{5} \cos(5x)\rig",high,role_target=symbolic; picked depth=56.7%,symbolic,symbolic,False
ibp_ptc_n9_b29,-,+,1804,0.5109,0.1813,0.5664,False,c{9}{29^2} x^8 \cos(29x) [-] \frac{72}{29^2} \int x^,high,role_target=symbolic; picked depth=51.1%,symbolic,symbolic,False
ibp_pts_n5_b31,-,+,2923,0.5413,0.1286,0.5658,False,"ow\) \( du = 2x \, dx \)
[-] \( dv = \cos(31x) \, dx",high,role_target=symbolic; picked depth=54.1%,symbolic,symbolic,False
ibp_ptc_n4_b7,+,-,2315,0.5743,0.1482,0.5647,False,\frac{1}{7} x^4 \sin(7x) [+] \frac{4}{49} x^3 \cos(7,high,role_target=symbolic; picked depth=57.4%,symbolic,symbolic,False
ibp_ptc_n7_b179,-,+,2114,0.5559,0.1621,0.5623,False,"\( du = 5x^4 \, dx \)
   [-] \( dv = \cos(179x) \, d",high,role_target=symbolic; picked depth=55.6%,symbolic,symbolic,False
ibp_ptc_n7_b269,-,+,2121,0.5569,0.1644,0.5568,False,"\( du = 5x^4 \, dx \)
   [-] \( dv = \cos(269x) \, d",high,role_target=symbolic; picked depth=55.7%,symbolic,symbolic,False
ibp_ptc_n1_b5,+,-,2013,0.8991,0.5407,0.8842,False,"[
= \frac{x}{5} \sin(5x) [+] \frac{1}{25} \cos(5x)
\",high,role_target=symbolic; picked depth=89.9%,symbolic,symbolic,False
ibp_ptc_n7_b71,-,+,2020,0.5449,0.1661,0.5471,False,"5 \cos(71x) \, dx\):

   [-] \( u = x^5 \), \( du = ",high,role_target=symbolic; picked depth=54.5%,symbolic,symbolic,False
ibp_pts_n3_b9,-,+,1774,0.5319,0.21,0.5309,False,") \(\Rightarrow\) \( v = [-]\frac{1}{9} \cos(9x) \)
",high,role_target=symbolic; picked depth=53.2%,symbolic,symbolic,False
ibp_ptc_n2_b17,-,+,1605,0.5061,0.2649,0.5159,False,17x)\right) - \int \left([-]\frac{1}{17} \cos(17x)\r,high,role_target=symbolic; picked depth=50.6%,symbolic,symbolic,False
ibp_pts_n2_b17,+,-,2301,0.9086,0.2771,0.907,False,frac{2}{289} x \sin(17x) [+] \frac{2}{4913} \cos(17x,high,role_target=symbolic; picked depth=90.9%,symbolic,symbolic,False
ibp_ptc_n10_b167,+,-,1824,0.5159,0.1915,0.5134,False,}{167} x^{10} \sin(167x) [+] \frac{10}{167^2} x^9 \c,high,role_target=symbolic; picked depth=51.6%,symbolic,symbolic,False
ibp_ptc_n3_b1,+,-,2211,0.9487,0.2508,0.9289,False,":

\[
\boxed{x^3 \sin(x) [+] 3x^2 \cos(x) - 6x \sin(",high,role_target=symbolic; picked depth=94.9%,symbolic,symbolic,False
ibp_ptc_n3_b10,-,+,1751,0.4855,0.1838,0.4953,False,"ghtarrow\) \( du = dx \)
[-] \( dv = \cos(10x) \, dx",high,role_target=symbolic; picked depth=48.5%,symbolic,symbolic,False
ibp_pts_n2_b13,-,+,1262,0.4381,0.283,0.4785,False,"ghtarrow\) \( du = dx \)
[-] \( dv = \cos(13x) \, dx",high,role_target=symbolic; picked depth=43.8%,symbolic,symbolic,False
ibp_ptc_n10_b199,-,+,1660,0.4846,0.2018,0.4777,False,}{199} x^{10} \sin(199x) [-] \frac{10}{199} \left( -,high,role_target=symbolic; picked depth=48.5%,symbolic,symbolic,False
ibp_ptc_n10_b211,-,+,1668,0.4871,0.2048,0.476,False,}{211} x^{10} \sin(211x) [-] \frac{10}{211} \left( -,high,role_target=symbolic; picked depth=48.7%,symbolic,symbolic,False
ibp_ptc_n2_b1,-,+,1777,0.9533,0.3622,0.9562,False,"x^2 \sin(x) + 2x \cos(x) [-] 2\sin(x) + C}
\]

where",high,role_target=symbolic; picked depth=95.3%,symbolic,symbolic,False
ibp_ptc_n10_b41,+,-,2916,0.9506,0.1878,0.9562,False,400}{41^9} x^2 \sin(41x) [+] \frac{3628800}{41^{10}},high,role_target=symbolic; picked depth=95.1%,symbolic,symbolic,False
ibp_pts_n7_b269,-,+,3207,0.958,0.2742,0.9562,False,0}{269^6} x^2 \sin(269x) [-] \frac{5040}{269^7} x \c,high,role_target=symbolic; picked depth=95.8%,symbolic,symbolic,False
ibp_ptc_n3_b4,-,+,1217,0.3146,0.2034,0.3177,False,"ow\) \( du = 2x \, dx \)
[-] \( dv = \sin(4x) \, dx ",high,role_target=symbolic; picked depth=31.5%,symbolic,symbolic,False
