id,wrong_sign_deep,correct_sign_deep,sign_char_offset_deep,rel_pos_deep,rel_pos_c1,target_depth,same_as_c1,context_check_deep,confidence,reasoning,role_deep,role_target,fallback
NC_4x4_det_238,-,+,2466,0.6874,0.1625,0.6885,False,\\ -4 & -4 \end{vmatrix} [-] 4 \begin{vmatrix} 5 & 0,high,role_target=parity; picked depth=68.7%,parity,parity,False
NC_4x4_det_382,+,-,1860,0.6576,0.2295,0.7081,False,"\ 
2 & 1 
\end{vmatrix} 
[+] 4 \begin{vmatrix} 
5 & ",high,role_target=parity; picked depth=65.8%,parity,parity,False
NC_4x4_det_304,-,+,890,0.1283,0.1145,0.1603,False,") + 5 \cdot \det(A_{13}) [-] 0 \cdot \det(A_{14})
\]",high,role_target=parity; picked depth=12.8%,parity,parity,False
NC_4x4_det_401,-,+,3149,0.7571,0.1061,0.7184,False,") is:

\[
\det(M_{14}) = [-]4 \begin{vmatrix} 4 & -3",high,role_target=parity; picked depth=75.7%,parity,parity,False
NC_4x4_det_280,-,+,2864,0.6878,0.1088,0.7226,False,"_{13}) = (-1)^4 (-190) = [-]190
\]

### Calculating ",high,role_target=parity; picked depth=68.8%,parity,parity,False
NC_4x4_det_358,-,+,2767,0.7317,0.1503,0.7249,False, \\ -5 & 0 \end{vmatrix} [-] (-2) \begin{vmatrix} 3 ,high,role_target=parity; picked depth=73.2%,parity,parity,False
NC_4x4_det_512,-,+,889,0.1329,0.1185,0.1382,False,") + 3 \cdot \det(A_{13}) [-] 0 \cdot \det(A_{14})
\]",high,role_target=parity; picked depth=13.3%,parity,parity,False
NC_4x4_det_233,-,+,2376,0.7127,0.139,0.7357,False, -4 & 3 \end{vmatrix} + ([-]5) \begin{vmatrix} 4 & 4,high,role_target=parity; picked depth=71.3%,parity,parity,False
NC_4x4_det_475,+,-,2438,0.7345,0.1582,0.7425,False,5 \\ 1 & 3 \end{vmatrix} [+] 4 \begin{vmatrix} 4 & 0,high,role_target=parity; picked depth=73.5%,parity,parity,False
NC_4x4_det_448,-,+,829,0.1349,0.143,0.1287,False,"first row:

\[
\det(A) = [-]5 \cdot \det(A_{11}) - 2",high,role_target=parity; picked depth=13.5%,parity,parity,False
NC_4x4_det_520,-,+,2606,0.7403,0.133,0.7452,False, -2 & 3 \end{vmatrix} + ([-]4) \begin{vmatrix} 1 & 5,high,role_target=parity; picked depth=74.0%,parity,parity,False
NC_4x4_det_272,-,+,852,0.1399,0.1399,0.1158,True,) = 4 \cdot \det(A_{11}) [-] (-2) \cdot \det(A_{12}),high,role_target=parity; picked depth=14.0%,parity,parity,False
NC_4x4_det_216,-,+,844,0.1386,0.1386,0.1093,True,) = 1 \cdot \det(A_{11}) [-] 4 \cdot \det(A_{12}) + ,high,role_target=parity; picked depth=13.9%,parity,parity,False
NC_4x4_det_458,-,+,3180,0.756,0.105,0.7537,False,") is:

\[
\det(M_{13}) = [-]5 \begin{vmatrix} -5 & -",high,role_target=parity; picked depth=75.6%,parity,parity,False
NC_4x4_det_314,-,+,3130,0.7697,0.1107,0.7578,False,") is:

\[
\det(M_{13}) = [-]1 \cdot \det\begin{bmatr",high,role_target=parity; picked depth=77.0%,parity,parity,False
NC_4x4_det_477,+,-,968,0.1695,0.2618,0.1088,False,"[
\det(A) = a_{14}C_{14} [+] a_{24}C_{24} + a_{34}C_",high,role_target=parity; picked depth=16.9%,parity,parity,False
NC_4x4_det_353,-,+,3671,0.7627,0.0917,0.7618,False," row:

\[
\det(M_{14}) = [-]1 \begin{vmatrix} -4 & 4",high,role_target=parity; picked depth=76.3%,parity,parity,False
NC_4x4_det_421,-,+,891,0.1598,0.1598,0.1087,True,\det(A) = 0 \cdot C_{11} [-] 0 \cdot C_{12} + (-4) \,high,role_target=parity; picked depth=16.0%,parity,parity,False
NC_4x4_det_447,+,-,897,0.2542,0.2542,0.1051,True,\det(A) = 0 \cdot C_{41} [+] 0 \cdot C_{42} + 0 \cdo,high,role_target=parity; picked depth=25.4%,parity,parity,False
NC_4x4_det_571,-,+,846,0.1187,0.1187,0.1024,True,) = 4 \cdot \det(A_{11}) [-] 0 \cdot \det(A_{12}) + ,high,role_target=parity; picked depth=11.9%,parity,parity,False
NC_4x4_det_560,-,+,850,0.1233,0.1233,0.1019,True,) = 3 \cdot \det(A_{11}) [-] 0 \cdot \det(A_{12}) + ,high,role_target=parity; picked depth=12.3%,parity,parity,False
NC_4x4_det_302,+,-,934,0.1668,0.1668,0.0998,True,\det(A) = 0 \cdot C_{31} [+] 0 \cdot C_{32} + 4 \cdo,high,role_target=parity; picked depth=16.7%,parity,parity,False
NC_4x4_det_454,-,+,889,0.2073,0.2073,0.0929,True,\det(A) = 0 \cdot C_{11} [-] 0 \cdot C_{12} + (-1) \,high,role_target=parity; picked depth=20.7%,parity,parity,False
NC_4x4_det_209,-,+,3539,0.9031,0.1122,0.8978,False,"4)(10) + 4(22) + 5(-6) = [-]40 + 88 - 30 = 18
\]

Th",high,role_target=parity; picked depth=90.3%,parity,parity,False
NC_4x4_det_471,-,+,3529,0.8986,0.1117,0.9009,False,"-5)(5) + 2(20) + 4(14) = [-]25 + 40 + 56 = 71
\]

Th",high,role_target=parity; picked depth=89.9%,parity,parity,False
NC_4x4_det_565,-,+,2228,0.9131,0.6177,0.9037,False,"(C_{24}\):

\[
C_{24} = ([-]1)^{6} \cdot 175 = 175
\",high,role_target=parity; picked depth=91.3%,parity,parity,False
NC_4x4_det_265,-,+,3833,0.912,0.1012,0.9078,False,"{14}\) is:

\[
C_{14} = ([-]1)^{1+4} \det(M_{14}) = ",high,role_target=parity; picked depth=91.2%,parity,parity,False
NC_4x4_det_323,-,+,3760,0.9177,0.1076,0.9231,False,"(M_{14}) = (-1)^5 (23) = [-]23
\]

### Final Calcula",high,role_target=parity; picked depth=91.8%,parity,parity,False
NC_4x4_det_222,-,+,4174,0.9314,0.0968,0.9308,False,"3
\]

Thus, \( C_{14} = ([-]1)^{1+4} \det(M_{14}) = ",high,role_target=parity; picked depth=93.1%,parity,parity,False
NC_4x4_det_271,+,-,2867,0.7699,0.1192,0.9324,False, \\ 5 & -2 \end{vmatrix} [+] 3 \begin{vmatrix} -2 & ,high,role_target=parity; picked depth=77.0%,parity,parity,False
NC_4x4_det_294,+,-,3470,0.9616,0.1219,0.9333,False,"(-1) \cdot 0 - 2 \cdot 0 [+] 0 \cdot \det(A_{14})
\]",high,role_target=parity; picked depth=96.2%,parity,parity,False
NC_4x4_det_387,-,+,3053,0.8165,0.1195,0.9336,False, -1 & 2 \end{vmatrix} + ([-]4) \begin{vmatrix} -1 & ,high,role_target=parity; picked depth=81.7%,parity,parity,False
NC_4x4_det_585,+,-,2356,0.7799,0.1591,0.9366,False,\\ -5 & -2 \end{vmatrix} [+] 0 \begin{vmatrix} 3 & -,high,role_target=parity; picked depth=78.0%,parity,parity,False
NC_4x4_det_494,-,+,3569,0.9236,0.1136,0.942,False,"_{13}) = 1 \cdot (-90) = [-]90
\]

### Final Calcula",high,role_target=parity; picked depth=92.4%,parity,parity,False
NC_4x4_det_580,-,+,3693,0.8996,0.1076,0.9436,False,"_{13}) = 1 \cdot (-35) = [-]35
\]

### Step 4: Calcu",high,role_target=parity; picked depth=90.0%,parity,parity,False
