model,phase,domain,case_id,written_sign,final_lead,passes_filter,peak_layer,n_layers,rel_depth,late
Gemma-3-27B,discovery,det_error,C_4x4_det_022,+,0.0000,0,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_1779,-,23.3750,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_1283,-,15.3750,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_0172,-,2.7500,1,13,62,0.213115,0
Gemma-3-27B,discovery,det_error,NC_4x4_det_1656,+,3.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_1993,+,4.6250,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_0963,-,2.7500,1,13,62,0.213115,0
Gemma-3-27B,discovery,det_error,NC2_4x4_det_0401,-,3.5000,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_error,NC_4x4_det_683,-,4.7500,1,13,62,0.213115,0
Gemma-3-27B,discovery,det_error,NC_4x4_det_1930,+,7.1250,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_547,+,1.7500,0,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_0663,+,11.1250,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_1586,+,1.2500,0,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_1268,+,18.2500,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_0662,+,2.7500,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_1375,+,2.5000,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_1315,+,13.7500,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_450,-,5.2500,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_error,NC2_4x4_det_1680,-,7.0000,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_error,NC_4x4_det_1019,-,1.1875,0,12,62,0.196721,0
Gemma-3-27B,discovery,det_error,NC_4x4_det_306,-,15.6250,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_0953,+,1.7500,0,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_695,+,1.2500,0,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_0782,-,21.5000,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_1225,+,3.7500,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,C_4x4_det_058,+,9.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,C_4x4_det_062,-,3.7500,1,13,62,0.213115,0
Gemma-3-27B,discovery,det_error,C_4x4_det_064,+,4.5000,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,C_4x4_det_072,-,0.2500,0,13,62,0.213115,0
Gemma-3-27B,discovery,det_error,C_4x4_det_073,+,2.7500,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,C_4x4_det_075,+,8.1250,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,C_4x4_det_096,+,8.3750,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,C_4x4_det_113,+,0.7500,0,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,C_4x4_det_119,-,0.2500,0,13,62,0.213115,0
Gemma-3-27B,discovery,det_error,C_4x4_det_120,+,5.3750,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,C_4x4_det_126,+,-0.2500,0,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,C_4x4_det_128,-,-0.2500,0,13,62,0.213115,0
Gemma-3-27B,discovery,det_error,C_4x4_det_131,-,-1.2500,0,13,62,0.213115,0
Gemma-3-27B,discovery,det_error,C_4x4_det_151,+,13.2500,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,C_4x4_det_152,+,12.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,C_4x4_det_154,+,12.3750,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,C_4x4_det_156,+,11.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,C_4x4_det_163,+,12.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_0049,-,15.0000,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_1377,-,13.3750,1,13,62,0.213115,0
Gemma-3-27B,discovery,det_error,NC_4x4_det_020,-,1.5000,0,13,62,0.213115,0
Gemma-3-27B,discovery,det_error,NC2_4x4_det_0817,-,5.5000,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_765,-,10.6250,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_1605,-,15.3750,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_617,-,14.5000,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_0219,-,14.2500,1,13,62,0.213115,0
Gemma-3-27B,discovery,det_error,NC_4x4_det_324,-,1.0000,0,13,62,0.213115,0
Gemma-3-27B,discovery,det_error,NC_4x4_det_0839,-,-3.2500,0,13,62,0.213115,0
Gemma-3-27B,discovery,det_error,NC_4x4_det_1723,-,12.0000,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_1600,-,16.3750,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_1455,-,8.2500,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_error,NC_4x4_det_462,-,23.3750,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_1487,-,13.6250,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_error,NC_4x4_det_400,-,21.0000,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_error,NC2_4x4_det_1736,-,6.8438,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_error,NC_4x4_det_480,-,6.7812,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_error,NC_4x4_det_1999,-,7.6250,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_error,NC2_4x4_det_1245,-,17.3750,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_error,NC_4x4_det_086,-,11.5234,1,5,62,0.081967,0
Gemma-3-27B,discovery,det_error,NC_4x4_det_0876,-,-1.0000,0,13,62,0.213115,0
Gemma-3-27B,discovery,det_error,NC2_4x4_det_1938,-,3.7500,1,9,62,0.147541,0
Gemma-3-27B,discovery,det_error,C_4x4_det_003,-,1.7500,0,13,62,0.213115,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_191,-,26.5000,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_192,+,20.5000,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_193,-,8.2344,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_194,-,8.6250,1,60,62,0.983607,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_195,-,11.6250,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_196,-,4.8750,1,5,62,0.081967,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_197,-,10.1250,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_198,+,23.2500,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_199,-,21.3750,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_200,-,17.3750,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_201,-,9.2422,1,5,62,0.081967,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_202,-,5.1250,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_203,+,21.7500,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_204,-,17.1250,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_205,-,5.0625,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_206,+,20.6250,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_207,-,16.6250,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_208,-,6.8750,1,58,62,0.950820,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_209,+,23.1250,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_210,+,23.2500,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_211,+,14.8750,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_212,-,4.3750,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_213,-,13.8750,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_214,-,8.3125,1,5,62,0.081967,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_217,-,11.7656,1,6,62,0.098361,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_218,+,19.8750,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_219,+,21.8750,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_220,-,13.6250,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_221,-,13.1250,1,60,62,0.983607,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_222,-,4.6562,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_223,-,14.2773,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_224,+,20.8750,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_225,+,17.7500,1,59,62,0.967213,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_226,-,11.5312,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_228,-,3.8438,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_230,-,8.8438,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_232,+,7.3750,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_233,-,6.3750,1,5,62,0.081967,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_234,-,17.5000,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_236,-,15.5000,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_237,-,14.9375,1,5,62,0.081967,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_238,-,21.1250,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_239,-,0.7500,0,12,62,0.196721,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_240,+,22.1250,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_241,-,3.3438,1,12,62,0.196721,0
Gemma-3-27B,discovery,det_correct,NC_4x4_det_242,+,4.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_243,+,22.2500,1,61,62,1.000000,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_244,+,22.2500,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_245,+,23.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,det_correct,NC_4x4_det_247,-,8.1250,1,12,62,0.196721,0
Gemma-3-27B,discovery,ibp_error,ibp_pts_n10_b1,-,13.1250,1,60,62,0.983607,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n10_b17,-,5.0000,1,61,62,1.000000,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n10_b19,+,-1.8750,0,44,62,0.721311,0
Gemma-3-27B,discovery,ibp_error,ibp_pts_n11_b1,+,14.5000,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n11_b17,-,6.1250,1,60,62,0.983607,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n11_b19,-,-0.0625,0,5,62,0.081967,0
Gemma-3-27B,discovery,ibp_error,ibp_pts_n12_b29,+,15.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n13_b1,+,6.5000,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n13_b2,+,0.3750,0,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n8_b7,+,9.7500,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n9_b11,+,6.6250,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n9_b12,-,1.4688,0,12,62,0.196721,0
Gemma-3-27B,discovery,ibp_error,ibp_pts_n9_b29,+,15.8750,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n9_b31,+,16.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_n7_022,+,-1.8750,0,39,62,0.639344,0
Gemma-3-27B,discovery,ibp_error,ibp_pts_ext2_n10_001,+,-1.1250,0,44,62,0.721311,0
Gemma-3-27B,discovery,ibp_error,ibp_pts_ext2_n11_001,-,0.1250,0,5,62,0.081967,0
Gemma-3-27B,discovery,ibp_error,ibp_pts_ext2_n12_003,+,14.5000,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_ext2_n9_003,+,15.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_ext2_n9_004,+,15.2500,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_ext_n10_001,-,12.3750,1,60,62,0.983607,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_ext_n10_008,-,4.6250,1,61,62,1.000000,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_ext_n11_001,+,14.1250,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_ext_n11_008,-,5.8750,1,60,62,0.983607,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_ext_n13_001,+,6.5000,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_ext_n13_002,+,-2.1250,0,42,62,0.688525,0
Gemma-3-27B,discovery,ibp_error,ibp_pts_n8_005,+,9.7500,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n9_011,+,6.5000,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n9_012,-,1.2500,0,12,62,0.196721,0
Gemma-3-27B,discovery,ibp_error,ibp_pts_n13_b109,-,4.7500,1,13,62,0.213115,0
Gemma-3-27B,discovery,ibp_error,ibp_pts_n13_b73,-,5.3750,1,12,62,0.196721,0
Gemma-3-27B,discovery,ibp_error,ibp_pts_n13_b101,-,14.5000,1,61,62,1.000000,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n16_b51,-,1.0000,0,12,62,0.196721,0
Gemma-3-27B,discovery,ibp_error,ibp_pts_n13_b19,-,22.5000,1,61,62,1.000000,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n13_b51,-,-2.2500,0,12,62,0.196721,0
Gemma-3-27B,discovery,ibp_error,ibp_pts_n13_b23,-,21.2500,1,61,62,1.000000,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n14_b67,-,4.2500,1,12,62,0.196721,0
Gemma-3-27B,discovery,ibp_error,ibp_ptc_n15_b13,-,26.1250,1,61,62,1.000000,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n16_b131,-,13.7500,1,60,62,0.983607,1
Gemma-3-27B,discovery,ibp_error,ibp_ptc_n8_b43,-,11.6250,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_ptc_n8_b8,-,5.0000,1,12,62,0.196721,0
Gemma-3-27B,discovery,ibp_error,ibp_pts_n16_b97,-,19.2500,1,61,62,1.000000,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n13_b49,-,-1.7500,0,12,62,0.196721,0
Gemma-3-27B,discovery,ibp_error,ibp_pts_n16_b35,-,5.5000,1,13,62,0.213115,0
Gemma-3-27B,discovery,ibp_error,ibp_ptc_n11_b211,-,6.8750,1,13,62,0.213115,0
Gemma-3-27B,discovery,ibp_error,ibp_ptc_n13_b18,-,7.1250,1,12,62,0.196721,0
Gemma-3-27B,discovery,ibp_error,ibp_ptc_n12_b49,-,5.2500,1,12,62,0.196721,0
Gemma-3-27B,discovery,ibp_error,ibp_ptc_n11_b149,-,7.6250,1,58,62,0.950820,1
Gemma-3-27B,discovery,ibp_error,ibp_ptc_n12_b137,-,6.2500,1,13,62,0.213115,0
Gemma-3-27B,discovery,ibp_error,ibp_ptc_n8_b269,-,3.7500,1,13,62,0.213115,0
Gemma-3-27B,discovery,ibp_error,ibp_pts_n13_b4,-,7.2500,1,12,62,0.196721,0
Gemma-3-27B,discovery,ibp_error,ibp_ptc_n16_b47,-,8.3750,1,13,62,0.213115,0
Gemma-3-27B,discovery,ibp_error,ibp_ptc_n16_b39,-,12.0000,1,58,62,0.950820,1
Gemma-3-27B,discovery,ibp_error,ibp_ptc_n13_b33,-,4.5000,1,13,62,0.213115,0
Gemma-3-27B,discovery,ibp_error,ibp_ptc_n10_b103,+,17.1250,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_ptc_n11_b71,+,7.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n11_b53,+,15.3750,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n14_b41,+,10.1250,1,50,62,0.819672,1
Gemma-3-27B,discovery,ibp_error,ibp_ptc_n13_b43,+,15.3750,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n16_b41,+,14.3750,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n11_b193,+,10.2500,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n14_b71,+,12.6250,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_ptc_n13_b35,+,18.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n7_b149,+,11.3750,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n14_b47,+,-1.2500,0,44,62,0.721311,0
Gemma-3-27B,discovery,ibp_error,ibp_pts_n15_b109,+,5.2500,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n11_b109,+,19.6250,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_ptc_n11_b151,+,17.3750,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_error,ibp_pts_n15_b59,+,0.5000,0,43,62,0.704918,0
Gemma-3-27B,discovery,ibp_error,ibp_ptc_n15_b67,+,5.7500,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n10_b131,-,8.3750,1,12,62,0.196721,0
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n7_b233,-,20.1875,1,61,62,1.000000,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n9_b5,+,16.1250,1,43,62,0.704918,0
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n8_b31,+,14.5000,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n10_b53,+,17.5000,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n0_b11,-,23.6250,1,12,62,0.196721,0
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n5_b79,+,21.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n5_b11,-,17.6250,1,60,62,0.983607,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n0_b7,+,18.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n5_b43,-,16.3750,1,60,62,0.983607,1
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n10_b53,-,20.4375,1,12,62,0.196721,0
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n8_b83,-,15.7500,1,60,62,0.983607,1
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n5_b229,-,21.7500,1,61,62,1.000000,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n1_b5,+,17.3750,1,50,62,0.819672,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n7_b13,+,13.7500,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n7_b233,-,16.8750,1,60,62,0.983607,1
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n7_b131,-,14.5000,1,11,62,0.180328,0
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n8_b193,+,17.5000,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n7_b151,+,19.6250,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n8_b151,+,16.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n7_b269,-,20.3750,1,61,62,1.000000,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n8_b181,-,15.0000,1,60,62,0.983607,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n5_b101,+,17.8750,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n5_b131,-,21.7500,1,61,62,1.000000,1
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n7_b71,+,17.2500,1,47,62,0.770492,1
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n5_b197,+,19.7500,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n3_b5,+,26.7500,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n8_b71,+,17.6250,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n7_b157,-,21.5000,1,61,62,1.000000,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n7_b8,-,14.6250,1,60,62,0.983607,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n2_b14,-,26.0000,1,61,62,1.000000,1
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n7_b193,+,22.2500,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n10_b41,+,11.2500,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n7_b179,+,17.5000,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n11_b197,-,5.0000,1,12,62,0.196721,0
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n11_b181,+,8.8750,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n7_b31,+,20.0000,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n8_b131,+,13.8750,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n10_b191,-,7.3750,1,60,62,0.983607,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n5_b131,-,19.5000,1,61,62,1.000000,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n5_b223,+,14.8750,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n7_b53,-,20.8750,1,59,62,0.967213,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n8_b39,+,14.1250,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n0_b5,-,25.3125,1,61,62,1.000000,1
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n7_b163,-,20.7500,1,61,62,1.000000,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n5_b3,-,17.7500,1,60,62,0.983607,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n7_b59,+,20.1250,1,59,62,0.967213,1
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n7_b139,-,12.7500,1,60,62,0.983607,1
Gemma-3-27B,discovery,ibp_correct,ibp_ptc_n9_b2,+,15.3750,1,55,62,0.901639,1
Gemma-3-27B,discovery,ibp_correct,ibp_pts_n7_b137,-,13.5000,1,60,62,0.983607,1
Gemma-3-27B,heldout,det_error,NC_4x4_det_1837,-,11.2500,1,60,62,0.983607,1
Gemma-3-27B,heldout,det_error,NC_4x4_det_1360,+,-3.3750,0,42,62,0.688525,0
Gemma-3-27B,heldout,det_error,NC2_4x4_det_1689,-,0.0000,0,12,62,0.196721,0
Gemma-3-27B,heldout,det_error,NC_4x4_det_1328,-,1.5000,0,13,62,0.213115,0
Gemma-3-27B,heldout,det_error,NC_4x4_det_445,+,-1.8750,0,42,62,0.688525,0
Gemma-3-27B,heldout,det_error,NC_4x4_det_1865,+,-8.1250,0,42,62,0.688525,0
